primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,id_politico,fecha_inicio,fecha_nac,fuente
CARMELO,NA,DE ARZADUM,ARZADUM,398,1931-10-08,1888-06-16,
CARMELO,NA,VIDALIN,NA,4469,2010-02-15,1955-11-17,
CARMEN,NIRIA,TORT,GONZALEZ,4012,2020-02-11,1964-01-29,
CARMEN,NA,BERAMENDI,NA,1518,NA,1950-06-16,
CARMEN,NA,BRUZZONE,NA,1567,NA,1953-05-29,
CARMEN,NA,TRESSA,NA,1344,NA,,
CARMINILLO,NA,MEDEROS,NA,873,1985-02-15,1891-08-18,
CAROL,NA,AVIAGA,NA,2432,2015-02-15,1970-08-14,
CAROLINA,NA,COSSE,NA,2362,2020-02-15,1961-12-25,
CAROLINA,NA,MURPHY,NA,2668,2015-03-01,1978-01-20,
CARTAUL,NA,ALOY,NA,3912,1963-02-15,1910-12-23,
CASIANO,NA,MONEGAL,NA,914,1932-02-23,,
CAYETANO,NA,BORDA,Y PAGOLA,226,1911-02-15,1876,1
CAYETANO,NA,STOPINGI,PRADO,3406,2015-03-01,1985-09-02,
CECILIA,NA,MARCHI,NA,2767,2010-03-01,1954-01-10,
CECILIA,NA,SELENE,NA,3214,2015-03-01,1969-02-25,
CECILIO,L.,ALZAIBAR,NA,3924,1963-02-15,,
CELEM,NA,NAREZ,JURI,1949,NA,1923-11-08,
CELIA,R.,DE ALCANTARA,ALCANTARA,3917,1963-02-15,,
CESAR,O.,ARGELLO,NA,92,1938-05-25,,
CESAR,NA,BADIN,NA,2745,2010-03-01,1949-01-15,
CESAR,NA,BORBA,NA,2525,1970-04-17,1912-05-01,
CESAR,NA,BUSTELO,NA,1574,NA,1929-09-19,
CESAR,NA,CEBALLE,NA,2789,2010-03-01,1957-03-23,
CESAR,NA,NIEVES,NA,3129,2015-03-01,,
CHRISTIAN,NA,DI CANDIA,CANDIA,4018,2019-04-01,1981-10-08,
CIRILO,NA,GULDENZOPH,NA,3714,1932-02-23,1902,1
CIRO,NA,CIOMPI,NA,341,1959-02-15,1905,1
CLAUDIO,NA,LAMONACA,NA,2777,2010-03-01,1953-11-05,
CLAUDIO,NA,RENDO,NA,3111,2015-03-01,1965-01-02,
CLAUDIO,NA,TORTI,NA,2708,2010-03-01,1944-10-24,
CLEVER,NA,MARIANI,NA,3265,2015-03-01,,
CLEVER,NA,RIERA,SOSA,2846,2010-03-01,1962-10-30,
CONO,ALFREDO,BRESCIA,NA,3980,1990-02-15,1942-10-09,
CONRADO,F.,RUCKER,NA,1200,1911-02-15,1855,1
CONRADO,NA,CHELONI,NA,326,1959-02-15,1917-03-06,
CONRADO,NA,SAEZ,NA,2114,1926-02-13,,
CONSTANTINO,NA,OGANDO,NA,3729,1932-02-23,,
CORALIO,NA,CAPILLAS,NA,281,1917-02-15,,
CRISTIAN,NA,FERRARO,NA,2719,2015-03-01,1978-05-22,
CRISTINA,NA,BURWOOD,NA,2733,2010-03-01,1972-04-20,
CRISTINA,NA,CORTONDO,NA,3260,2015-03-01,1971-05-19,
CRISTINA,NA,LUSTEMBERG,NA,2378,2020-02-15,1966-01-12,
CRISTINA,NA,LUSTENBERG,NA,2356,2015-02-15,1966-01-12,
CRISTOBAL,NA,CANO,NA,1589,NA,,
CRISTOBAL,NA,TIMON,NA,2204,NA,,
CYRO,NA,GIAMBRUNO,NA,621,1947-02-13,1898,
