"","primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","partido","legislatura"
"379","ANDREOLI",NA,"LEOPOLDO","ENRIQUE","Partido Colorado",30
"380","ANDREOLI",NA,"LEOPOLDO","ENRIQUE","Partido Colorado",31
"381","ANDRIOLO",NA,"LUIS",NA,"Partido Nacional",43
"382","ANDRIOLO",NA,"LUIS",NA,"Partido Nacional",44
"383","ANDUJAR",NA,"JOSE",NA,"Partido Nacional",44
"384","ANDUJAR",NA,"NESTOR",NA,"Partido Nacional",44
"385","ANDUJAR",NA,"SEBASTIAN",NA,"Partido Nacional",48
"386","ANDUJAR",NA,"SEBASTIAN",NA,"Partido Nacional",49
"387","ANDUJAR",NA,"JOSE",NA,"Partido Nacional",43
"388","ANFUSSO",NA,"JUAN","CARLOS","Partido Colorado",30
"389","ANFUSSO",NA,"JUAN","CARLOS","Partido Colorado",31
"390","ANFUSSO",NA,"JUAN","CARLOS","Partido Colorado",35
