primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,id_politico,fecha_inicio,fecha_nac,fuente
ASDRUSBAL,NA,FERNANDEZ,NA,1757,NA,,
ASDRUSBAL,NA,MASCHERONI,NA,891,1973-05-30,,
ASDRUSBAL,NA,VAZQUEZ,NICOLINI,3757,1995-02-15,1937-06-15,
ASILDO,NA,ANTUNEZ,NA,3682,1963-02-15,1913-10-26,
ASTUL,NA,BENAVIDEZ,LUZ,1537,NA,1924-04-21,
ATAHUALPA,NA,RODRIGUEZ,NA,3589,1955-02-15,,
ATANASIO,NA,VIERA,NA,1424,1932-02-15,,
ATAULFO,NA,PEREZ,FONTANA,2020,NA,,
ATILIO,NA,ARRILLAGA,SAFONS,3818,1955-02-14,1900,2
ATILIO,NA,ARRILLAGA,SIMPSON,3818,1963-02-15,1936-04-27,
ATILIO,NA,FERNANDEZ,TORTEROLO,537,1954-09-08,,
ATILIO,NA,PAIVA,OLIVERA,3477,1926-02-13,1892-03-02,
AUGUSTO,C.,BADO,NA,3822,1935-03-19,1906,2
AUGUSTO,CESAR,BADO,NA,3822,1938-05-25,1906,2
AUGUSTO,NA,GARCIA,NA,1801,NA,,
AUGUSTO,NA,LEGNANI,NA,805,1972-07-19,1912-03-23,
AUGUSTO,NA,MONTES,DE OCA,2523,1990-03-01,1938-09-26,
AUGUSTO,NA,NOGUEIRA,EISMENDI,982,1972-10-02,,
AUGUSTO,NA,PONCE,DE LEON,1116,1929-05-30,1868,1
AURELIANO,G.,BERRO,NA,1550,NA,,
AURELIANO,NA,RODRIGUEZ,LARRETA,1197,1926-02-15,,
AURELIO,NA,ALVAREZ,CAIMI,41,1957-06-10,,
AURELIO,NA,CARAMBULA,NA,294,1929-03-08,1887-01-29,1
AURELIO,NA,DA COSTA,COSTA,3169,2015-03-01,1956-04-17,
AURELIO,NA,PEREIRA,NUÑEZ,1070,1923-02-05,,
AURELIO,NA,VEGA,NA,2242,NA,,
AVELINO,NA,BRENA,NA,1585,NA,1891,2
BALTASAR,NA,BRUM,NA,1587,1919-03-01,1883-06-18,
BALTASAR,NA,PRIETO,NA,2052,NA,1931-01-05,
BARI,NA,GONZALEZ,MODERNELL,1827,NA,1924-07-04,
BASILIO,NA,MORALES,NA,1954,NA,1927-06-14,
BASILIO,NA,MUÑOZ,NA,964,1947-02-15,1860-09-13,
BAUDILIO,NA,NUÑEZ,MENDARO,1975,1955-02-15,,
BAUTISTA,NA,LOPEZ,TOLEDO,1905,NA,,
BEATRIZ,NA,BALPARDA,NA,2985,2015-03-01,1952-04-28,
BEATRIZ,NA,LAMAS,,2675,2015-03-01,,
