,nombre,fecha_nac,cargo,partido,status,inicio,fin,primer_apellido,segundo_apellido,primer_nombre,segundo_nombre,sexo,legislatura,fecha_inicio_l,fecha_fin_l,legislaturas_agrupadas
82,"GONZALEZ HATCHONDO, ADRIANA RAQUEL",1962-05-25,Diputado,Frente Amplio,Suplente,2015,2019,GONZALEZ,HATCHONDO,ADRIANA,RAQUEL,0,48,2015-02-15,2020-02-14,1985-2020
83,"GONZALEZ RIOS, LUIS ALBERTO",1951-12-07,Diputado,Partido Independiente,Suplente,2015,2020,GONZALEZ,RIOS,LUIS,ALBERTO,1,48,2015-02-15,2020-02-14,1985-2020
84,"GONZALEZ RODRIGUEZ, DANIEL ALEJANDRO",1972-07-20,Diputado,Frente Amplio,Suplente,2015,2015,GONZALEZ,RODRIGUEZ,DANIEL,ALEJANDRO,1,48,2015-02-15,2020-02-14,1985-2020
85,"GONZALEZ TABERNE, JORGE SEBASTIAN",1981-06-23,Diputado,Frente Amplio,Suplente,2015,2020,GONZALEZ,TABERNE,JORGE,SEBASTIAN,1,48,2015-02-15,2020-02-14,1985-2020
86,"GRAFFIGNA SANTIESTEBAN, HECTOR DANIEL",1969-09-16,Diputado,Partido Nacional,Suplente,2020,2020,GRAFFIGNA,SANTIESTEBAN,HECTOR,DANIEL,1,48,2015-02-15,2020-02-14,1985-2020
86,"GRAFFIGNA SANTIESTEBAN, HECTOR DANIEL",1969-09-16,Diputado,Partido Nacional,Suplente,2015,2015,GRAFFIGNA,SANTIESTEBAN,HECTOR,DANIEL,1,48,2015-02-15,2020-02-14,1985-2020
87,"GRAUERT HAMANN, ELENA FERMINA",1964-12-28,Diputado,Partido Colorado,Suplente,2015,2019,GRAUERT,HAMANN,ELENA,FERMINA,0,48,2015-02-15,2020-02-14,1985-2020
88,"GRIEGO VALIENTE, NORMA NANCY",1963-12-03,Diputado,Frente Amplio,Suplente,2015,2019,GRIEGO,VALIENTE,NORMA,NANCY,0,48,2015-02-15,2020-02-14,1985-2020
89,"GROBA ARRIONDO, OSCAR",1951-01-10,Diputado,Frente Amplio,Titular,2015,2020,GROBA,ARRIONDO,OSCAR,,1,48,2015-02-15,2020-02-14,1985-2020
90,"GUEKDJIAN HEKIMIAN, JORGE",1964-06-23,Diputado,Partido Nacional,Suplente,2015,2015,GUEKDJIAN,HEKIMIAN,JORGE,,1,48,2015-02-15,2020-02-14,1985-2020
91,"GUERRERO PALERMO, CESAR GUSTAVO",1965-12-02,Diputado,Frente Amplio,Suplente,2015,2015,GUERRERO,PALERMO,CESAR,GUSTAVO,1,48,2015-02-15,2020-02-14,1985-2020
